EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Chatham ON,2/23/1985 12:00:00 AM,"Chatham ON, February 23 - March 2, 1985. The city of Chatham and agricultural land in Dover and Raleigh Townships downstream of Chatham experienced widespread flooding due to a combination of mild temperatures leading to snowmelt; the Thames River and McGregor and Indian Creeks overflowed due to snowmelt runoff; an estimated 1180 homes experienced flooding; a dam was damaged; an Ontario Provincial Police helicopter was used to evacuate 30 people in outlying areas.",0,0,30,,,3/2/1985 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Pemberton area BC,10/6/1984 12:00:00 AM,"Pemberton area BC, October 6-8, 1984. Persistent heavy rains over three days caused severe flooding in the Pemberton, Squamish, and Lion's Bay areas; 300 people were evacuated; the flood caused one death.",1,0,300,3999112,395951.7,10/8/1984 12:00:00 AM,637747,3361365,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,4/25/1984 12:00:00 AM,"Saint John River basin NB, April 25 - May 6, 1984. Due to rain, mild temperatures and snowmelt in late Apr. and early May, the Saint John River flooded areas between Fredericton and Gagetown; several houses were inundated and the TransCanada Highway was closed for several days;  one person was reported to have drowned when his vehicle left a flooded section of Route #690 near Lakeville Corner and plunged into deeper water.",1,0,0,,,5/6/1984 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,2/13/1984 12:00:00 AM,"Southern Ontario, February 13-17, 1984. Toronto, Chatham, Dresden, Port Bruce, St. Thomas, and Brantford experienced flooding due to very mild weather and rainfall; ice jams formed on several rivers causing them to overflow; several roads were closed due to flooding, most of them along the St. Clair and Thames River in the southeastern part of Ontario; in Toronto, the Don Valley Parkway was closed in areas due to overflow in the Don River; two people died as they were swept away on Black Creek in Toronto; over a hundred were evacuated in southern Ontario; utilities were disrupted in some areas and businesses were forced to close.",2,0,150,,,2/17/1984 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Truro NS,2/5/1984 12:00:00 AM,"Truro NS, February 5-8, 1984. A combination of mild temperatures, rainfall, snowmelt and ice jams caused flooding in the Truro area; along the Salmon and North Rivers several homes were inundated; Feb. flood described as the worst in 50 years; one death from fumes while pumping out a basement.",1,0,0,,,2/8/1984 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lower Fraser River Valley BC,1/4/1984 12:00:00 AM,"Lower Fraser River Valley BC, January 4-5, 1984. Heavy rainfall and snowmelt caused flooding in southwestern British Columbia; transportation was disrupted as debris jams and water obstructed traffic on Highway 1; several problems were caused by flooding and washouts; there was a mudslide and a bridge washout, and sections of CP and CN railway track were washed out as well as damage to a fish hatchery.",0,0,0,4029790,398989.1,1/5/1984 12:00:00 AM,605407,3424383,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northeast Saskatchewan,1/1/1984 12:00:00 AM,"Northeast SK, 1984. Excessive moisture caused crop losses.",0,0,0,,,1/1/1984 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Avalon Peninsula NL,12/22/1983 12:00:00 AM,"Avalon Peninsula NL, December 22-25, 1983. On these days several coastal communities, including St. John's, experienced flooding and road washouts due to high tides and strong winds.",0,0,0,,,12/25/1983 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Gaspésie QC,12/7/1983 12:00:00 AM,"Gaspésie and lower north shore of Gulf of St. Lawrence River QC, December 7-8, 1983. High tides and violent winds from a severe storm caused flooding along the Gaspésie and Gulf of St. Lawrence shores along with landslides; damage, partially wind related, was widespread; several wharves, ships, and roads were damage; several homes and cottages were flooded; the communities of Chandler, La Martre, Sainte-Anne-des-Monts and Longue-Pointe were affected.",0,0,0,53831341,5559174.6,12/7/1983 12:00:00 AM,27739771,26091570,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"upper Richelieu River, Montréal QC",5/10/1983 12:00:00 AM,"Upper Richelieu River QC, May 10, 1983. Plus several communities along the Ottawa River, Rivière Gatineau, Rivière du Lièvre, Rivière des Prairies, Rivière des Mille Îles, and Rivière Rouge were also affected; heavy rains of 70110 mm caused widespread flooding along the upper Richelieu River on May 10, 1983; from the city of Saint-Jean to the Canada-U.S. border, 640 homes and 373 cottages were flooded; approximately 160 people were evacuated.",0,0,160,,,5/10/1983 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC",3/19/1983 12:00:00 AM,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC, March 19-20, 1983. Ice jams caused flooding in Louiseville and Yamachiche which led to road closings and the evacuation of several hundred homes, businesses, schools and a hospital.",0,0,0,,,3/20/1983 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Badger NL,2/28/1983 12:00:00 AM,"Badger NL, February 27 - March 10, 1983.  Severe flooding in Badger due to ice and debris blockages of the Exploits River. The town hall, fire hall and arena were flooded, and 34 homes evacuated. Badger was declared a disaster area.",,,,,,3/10/1983 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Central, southern, and western Newfoundland",1/11/1983 12:00:00 AM,"Central, southern, and western Newfoundland, January 11-19, 1983. Due to mild temperatures and excessive rainfall from a major Snowstorm, homes and highways were damaged along the Exploits and Gander Rivers (central), the Conne River (southern), and in Stephenville (west coast); the flood occurred after 189 mm of rain fell within a 36-hour period, destroying several homes, businesses and other infrastructure worth approximately $4 million; several homes, two railway cars and a local club were washed away; approximately 500 people were evacuated; numerous washouts along many central highways forced travellers to seek refuge; no loss of life or personal injury was reported; flooding in the Exploits and Gander River basins resulted in partial damage to the dam and power house in Bishop's Falls on the Exploits River. >60 homes were flooded",0,0,500,6367841,657608.4,1/19/1983 12:00:00 AM,3879494,2484696,,,,,3651,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central Alberta,1/1/1983 12:00:00 AM,"Central Alberta, 1983.",0,0,0,,,1/1/1983 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Grande Prairie AB,7/13/1982 12:00:00 AM,"Grande Prairie AB, July 13-15 and August 1-3, 1982. Most of the Smoky River Basin above the junction of the Wapiti and Smoky rivers received in excess of 100 mm of precipitation.  The intensity of the rainfall overloaded Grande Prairie\'s storm and sanitary sewage systems and caused numerous flooded basements.  The second storm on August 1-3 set a new 24-hour August rainfall record at Grande Prairie.  The flood events caused extensive damage to buildings, roads, bridges and rail facilities in the Smoky River Basin.",0,0,0,,,8/3/1982 12:00:00 AM,0,0,,,,,,115994,0
Disaster,Natural,Meteorological - Hydrological,Flood,Aklavik NT,6/1/1982 12:00:00 AM,"Aklavik NT, June 1-6, 1982. Late in May, three separate ice jams occurred downstream of Point Seperation causing backwater flow to be diverted down the Peel Channel. As a result, the remote settlement of Aklavik experienced significant flooding. Flood waters damaged numerious homes in Aklavik and left debris scattered along the settlement's airstrip. On June 3, flood water reached a peak level of nearly 11 metres. It is estimated that 95 per cent of the Mackenzie Delta was under water. This event was the most severe flood event to occur in the region since 1961.",0,0,0,141412,15454.9,6/6/1982 12:00:00 AM,46278,95134,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sherbrooke QC,4/17/1982 12:00:00 AM,"Sherbrooke QC, April 17-20, 1982. St-François River completely flooded downtown Sherbrooke with 3 metres of water. 100 businesses flooded; 300 people evacuated.",0,0,300,,,4/17/1982 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,1/1/1982 12:00:00 AM,"Hay River NT, 1982.",0,0,0,572824,62603.7,1/1/1982 12:00:00 AM,413342,159482,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Westfield and Grand Bay NB,8/1/1981 12:00:00 AM,"Westfield and Grand Bay NB, August 1981. Heavy rains caused a washout of streets and culverts in both villages.",0,0,0,,,8/1/1981 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern ON,2/18/1981 12:00:00 AM,"Southeastern ON, February 18-20, 1981. The Ottawa and Rideau River basins in southeastern Ontario, as well as Toronto suffered flood damages.",0,0,0,1668590,202253.3,2/20/1981 12:00:00 AM,0,0,,1668590,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Edmonton AB,1/1/1981 12:00:00 AM,"Edmonton AB, 1981. A thunderstorm dropped 56 mm of rain in less than 3 hours causing severe and widespread flooding; the flooding resulted in washouts, mudslides and 4 deaths.",4,0,0,,,1/1/1981 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sussex NB,1/1/1981 12:00:00 AM,"Sussex NB, 1981. Floods caused the evacuation of 20 families (assume a family of 4) and damage to property.",0,0,80,22248,2696.7,1/1/1981 12:00:00 AM,0,0,22248,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Squamish River BC,12/26/1980 12:00:00 AM,"Squamish River BC, December 26-27, 1980. A combination of heavy rain and melting snow caused floods along the Squamish River and other nearby rivers; flooded areas such as Brackendale, Squamish, Princeton, Coalmont, Hope and Vancouver Island. Several bridges were washed out.  An estimated 3000 people had to be evacuated and 200 homes were damaged.",0,0,3000,10143000,1383136.4,12/27/1980 12:00:00 AM,4328769,5814231,,,,,,119127,0
Disaster,Natural,Meteorological - Hydrological,Flood,Gaspésie Region QC,7/6/1980 12:00:00 AM,"Gaspésie Region QC, July 6-7, 1980. Torrential rain, bringing 150 mm of water, caused flooding and some landslides in Gaspée, Grande-Vallée and Percé. Water levels in the Grande Vallée River raised to 4 meters. Municipalities between Grande-Vallée and Gaspé were isolated following the closure of roads and 2 damaged bridges. 150 residences were flooded, 2 completely destroyed and 3 heavily damaged in Gaspé. 40 families were evacuated by helicopter.",0,0,160,,,7/7/1980 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,3/21/1980 12:00:00 AM,"Southern Ontario, March 21-22, 1980. Southwestern Ontario experienced severe flooding, especially in the Ganaraska region and Lower Trent River; several businesses and roads were closed.",0,0,0,,,3/22/1980 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Vancouver Island BC,12/18/1979 12:00:00 AM,"Vancouver Island BC, December 18, 1979. A continuous downpour of heavy rains and strong winds caused great damage from flooding and mudslides. Campbell, Gold and Oyster Rivers on Vancouver Island were flooded. On the mainland, Surrey, Haztic, Port Moody, Squamish and some First Nation Reserves reported damage of public, private and municipal buildings/land due to flooding. Water, 15 to 30 cm deep, led to the damage of roads, bridges, and the Western Speedway.",0,0,0,2642670,396400.5,12/18/1979 12:00:00 AM,26635,2616035,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central Ontario,5/12/1979 12:00:00 AM,"Central Ontario, May 12, 1979. The White, Mississagi, Goulais, Spanish and Wanapetei Rivers were some rivers that overflowed and caused flooding in May 1979.  Roads and businesses were closed and utility services were disrupted in the community of White River.",0,0,0,,,5/12/1979 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Dawson YT,5/3/1979 12:00:00 AM,"Dawson YT, May 3, 1979. An ice jam on the Yukon River caused water to rise 2 m, flooding 80% of Dawson's buildings.",0,0,0,1854000,278100,5/3/1979 12:00:00 AM,1682054,171946,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central Ontario,4/24/1979 12:00:00 AM,"Central Ontario, April 24, 1979. Areas around Lake Nipissing and along the Mississagi, Blind and Mattagami Rivers experienced flooding in April 1979. Several roads were closed near Lake Nipissing and the Mattagami River.",0,0,0,,,4/24/1979 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,New Brunswick,4/24/1979 12:00:00 AM,"New Brunswick, April 24 - May 7, 1979. Rainfall and heavy snowmelt caused extreme flood conditions in most parts of the province; record-breaking discharge was seen at some hydrometric stations. Several major highways were closed, and many residents evacuated when their homes were inundated by flood waters.",0,0,0,3227650,484147.5,5/7/1979 12:00:00 AM,1545488,1682162,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Red River region MB,4/1/1979 12:00:00 AM,"Red River region MB, April-May 1979. A major flood, close to flood levels of the 1950 flood, hit the Red River region; most of the damage occurred in the valley; no communities were flooded as the dykes protecting them were temporarily raised; 10,000 people were ordered to evacuate: 1450 residents were evacuated in the town of Morris and 400 from the Roseau Reserve; livestock and poultry were also evacuated.",0,0,10000,18557303,2783595.5,5/31/1979 12:00:00 AM,14670604,3886699,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern Ontario,3/5/1979 12:00:00 AM,"Southwestern Ontario, March 5, 1979. The Thames, Saugeen and Grand Rivers were some of the rivers that overflowed and caused flooding in March, 1979. Many roads were closed along the Thames River, and on the Grand River several businesses were closed; some communities on the Thames, Saugeen and Grand Rivers experienced disrupted utility service.",0,0,0,,,3/5/1979 12:00:00 AM,0,0,,,,,,0,0
